iter	Passed	Remaining
808	1454	343
809	1455	341
810	1456	339
811	1457	337
812	1459	335
813	1460	333
814	1461	331
815	1462	329
816	1463	327
817	1465	326
818	1471	325
819	1472	323
820	1473	321
821	1475	319
822	1478	318
823	1480	316
824	1481	314
825	1482	312
826	1484	310
827	1486	308
828	1489	307
829	1491	305
830	1492	303
831	1495	301
832	1498	300
833	1502	299
834	1504	297
835	1506	295
836	1508	293
837	1509	291
838	1511	290
839	1512	288
840	1514	286
841	1515	284
842	1516	282
843	1518	280
844	1519	278
845	1520	276
846	1521	274
847	1523	273
848	1525	271
849	1526	269
850	1528	267
851	1529	265
852	1531	263
853	1532	262
854	1534	260
855	1535	258
856	1537	256
857	1538	254
858	1539	252
859	1540	250
860	1541	248
861	1544	247
862	1545	245
863	1547	243
864	1548	241
865	1549	239
866	1550	237
867	1551	235
868	1552	234
869	1553	232
870	1554	230
871	1555	228
872	1556	226
873	1558	224
874	1559	222
875	1561	221
876	1563	219
877	1564	217
878	1565	215
879	1566	213
880	1567	211
881	1568	209
882	1569	208
883	1571	206
884	1572	204
885	1573	202
886	1574	200
887	1575	198
888	1577	196
889	1578	195
890	1579	193
891	1581	191
892	1582	189
893	1583	187
894	1584	185
895	1585	184
896	1587	182
897	1588	180
898	1589	178
899	1590	176
900	1591	174
901	1592	173
902	1593	171
903	1594	169
904	1595	167
905	1597	165
906	1599	163
907	1601	162
908	1602	160
909	1603	158
910	1604	156
911	1606	155
912	1607	153
913	1608	151
914	1610	149
915	1611	147
916	1612	145
917	1613	144
918	1615	142
919	1616	140
920	1617	138
921	1619	136
922	1620	135
923	1621	133
924	1622	131
925	1623	129
926	1624	127
927	1626	126
928	1627	124
929	1628	122
930	1629	120
931	1630	118
932	1632	117
933	1633	115
934	1634	113
935	1636	111
936	1637	110
937	1638	108
938	1640	106
939	1641	104
940	1642	102
941	1643	101
942	1644	99
943	1645	97
944	1646	95
945	1647	94
946	1648	92
947	1649	90
948	1650	88
949	1652	86
950	1654	85
951	1655	83
952	1657	81
953	1658	79
954	1659	78
955	1661	76
956	1662	74
957	1663	72
958	1664	71
959	1665	69
960	1667	67
961	1668	65
962	1669	64
963	1670	62
964	1671	60
965	1674	58
966	1675	57
967	1676	55
968	1677	53
969	1678	51
970	1679	50
971	1680	48
972	1681	46
973	1683	44
974	1684	43
975	1685	41
976	1686	39
977	1688	37
978	1689	36
979	1691	34
980	1692	32
981	1694	31
982	1695	29
983	1697	27
984	1698	25
985	1699	24
986	1700	22
987	1702	20
988	1703	18
989	1704	17
990	1705	15
991	1706	13
992	1707	12
993	1709	10
994	1711	8
995	1712	6
996	1713	5
997	1714	3
998	1716	1
999	1717	0
